Обозначение;Сокращения
барак;бар.
берег;бер., берег
болото;бол., бл.
бор;бор
бочага;боч.
бухта;бух., б.
варница;варн.
водопад;водоп., вдп.
волок;волок, влк.
выгон;выг.
выселок;высел., в-лок
гидрометеорологическая станция;гмс
гора;г., гор.
город;г., гор.
губа;губ., гб.
гумно;гум.
деревня;д., дер.
дерево;дер.
дом;д., дом
дорога;дор.
заводь;заводь
закол;зак.
залив;зал., з.
зимник;зим.
изба;изб.
изгородь;изг.
казарма;казар., каз.
камень;кам., к.
канава;кан.
карьер;кар.
кладбище;клдб., кл.
колодец;колод., клд., кол.
колонизационный поселок;кол. пос.
колхоз;клх., колх.
крест;кр.
кузница;куз.
лабиринт;лаб.
ламба;лам.
лес;л., лес
лесная изба;лес. изб.
лесозавод;лесоз-д, лзд.
лесопункт;лесоп.
лесоучасток;лесоуч.
луда;луд.
лужа;луж.
маяк;м., маяк
межа;межа
мель;мель
мельница;мел.
местечко;м-ко
местность;местн.
место;м.
монастырь;мон.
море;м., мор.
мост;м., мост
мостки;мостки
мыс;м., мыс
населённый пункт;н. п.
нива;нива
низина;низ.
овраг;овр., ов.
озеро;оз., о.
омут;омут
остров;о., о-в, остр.
отмель;отм.
пастбище;пастб., паст.
перевоз;пер.
перекресток;перекрест., пер.
перешеек;переш.
плотина;плотин., плт.
плёс;плс.
поворот;пов.
пожога;пож.
покос;пок.
поле;пол.
полуостров;п-ов, полуост.
поляна;пол.
порог;порог, пор.
поселение;пос.
поселок;пос., п.
постройка;постр.
посёлок городского типа;пгт
пристань;прист., пр.
прогон;прог.
пролив;прол., пр.
прорубь;прор.
просека;прос.
протока;прот.
пруд;пруд, прд.
пудас;пуд.
развалины;разв.
разъезд;рзд.
расщелина;расщ.
река;р., рек.
рига;рига
родник;род.
роща;рощ.
ручей;р., руч.
рыбный забор;рыб. заб.
село;с., с.
скала;ск.
склон;скл.
смолокурня;смолок.
станция;ст., стн.
территория;тер.
ток;ток
тоня;тон.
тропа;тр.
угодье;уг.
улица;ул., у.
урочище;уроч.
устье;уст., у.
участок;уч-к, уч.
ущелье;ущ.
фамилия;фам.
фарватер;фарв.
хутор;х., хут.
церковь;церк.
часовня;час.
часть деревни;ч. д.
часть моря;ч. м.
часть мыса;ч. м.
часть озера;ч. оз.
часть поселения;ч. пос.
часть реки;ч. р.
шахта;шах.
яма;ям.