description,abbreviation,translation
"Зимняя дорога из Кеми в д. Летняя Река, от г. Горелиха на север.",г.,гора
Зимняя дорога в г. Кемь.,г.,город
Зимник на покосы к г. Рощелья.,г.,гора
"Земельное угодье бывшего Муромского монастыря. Пустошь, принадлежавшая Муромскому монастырю в 1582 г., выкашивали сена 20 копен.",г.,год
"Земельное угодье бывшего Муромского монастыря. Пустошь, принадлежавшая Муромскому монастырю в 1582 г., выкашивали сена 20 копен.",г.,год
Залив Hulkonlahti омывает с севера о. Тамханка и мыс Hulkonniemi. Граничит с прол. Келетинсалми.,о.,остров
"Залив Онежского озера в 8 км на с., с/з от д. Суйсарь.",с.,севере
Залив озера Кончезеро в районе д. Косалма.,д.,деревня
"Залив на р. Водла, вверх по реке от д. Водла.",р.,река
Залив на Онежском озере у п. Онежский.,п.,посёлок
Залив на оз. Водлозеро у д. Кевасалма.,д.,деревня
Залив на зап. берегу о. Колгостров.,о.,остров
"Залив Ладожского озера, через него мост, объединяющий разные районы г. Сортавала. Переходит на юге в залив Läppäjärvi. Короткой протокой Vakkosalmi соединяется с оз. Airanne.",г.,город
Залив в юго-вост. части о. Кижи (где ныне д. Сергеева). Воробьяне там всё приставали.,о.,остров
Залив в Уницкой губе у о. Куткостров.,о.,остров
Залив в оз. Лижмозеро к юго-востоку от о. Синягостров.,о.,остров
"Залив в вост. части о. Сало (оз. Ведлозеро). Это место имеет открытое пространство, отсюда и название.",о.,остров
"Залив Белого моря к западу от г. Кандалакша, в которую впадает река Кандарека.",г.,город
"Залив Белого моря в районе с. Нюхча. Это западная часть Саруцкой губы, от мыса Кустов наволок до Варничного наволока.",с.,село
зал. Перттилахти расположен восточнее г. Мустамяки (высота 61.2),г.,гора
Закол на р. Кемь из-под Заборного порога. Ставится заводь к Тюрюкаллиеву. Привязка к карте не является точной.,р.,река
"Загубина расположена на западном берегу Матгубы, напротив г. Кондопога.",г.,город
Загубина р. Шуя. Привязка к карте м.б. не совсем точной.,р.,река
Загубина на р. Сумарека.,р.,река
загубина (песчаный берег) оз. сумзера на о. Сумостров. Раньше здесь купались только женщины. Здесь купаются жители деревни.,о.,остров
"Заводь в оз. Ухтомьярское, рядом с о. Шубач, Катька утонула.",о.,остров
"Забор для ловли мелкой рыбы, над Боярской губой с островками у о. Пухкила (Пуккила). Привязка к карте м.б. не совсем точной.",о.,остров
"Забор для ловли мелкой рыбы у о. Гусинец, с летней стороны, ниже и ближе к нему. Привязка к карте м.б. не совсем точной.",о.,остров
"Дорога, ведущая от г. Пудож до п. Кодачи.",п.,посёлок
"Дорога, ведущая на пристань к Онежскому озеру у с. Шелтозера.",с.,село
Дорога на р. Шолу и далее в дер. Мартыновское (Лошны).,р.,река
Дорога в г. Пудож.,г.,город
Дом в д. Сеерный Конец.,д.,деревня
Дом в д. Пряккиля. Старый дом 1927 г.,г.,год
Дом в д. Гижино.,д.,деревня
"Длинные, далеко вдающиеся в море низменные полуострова в сев.-зап. части о. Мягостров. Солончаковые луга. Высокие приливы и ветровые нагоны могут их затапливать.",о.,остров
"Деревня. библиотека, Vas'ke - Sen'kalankodi (Абрамов), Makarie (Trubetskoi), Makarie (Антипин), sluuži Kemissä, Iivana (Trubetskoi), Vas'ke (Antipinantalo), богатый, 2 этажа, хозяин арестован. Seppä-Iivana (Абрамов), Prokon (Антипин), Hodora-emändä (Антипин), rikkaudu talo oli. Papinkodi Saša (Rinsin) Александр Рынцын, председатель, Miihkali (Полиектов Михаил Андреевич), Hočolankodi (Филиппов), Miču (Дмитрий), Luškovantalo (Лужков) - venäläini, Vas'ke - velli (karjalaini), Fed'an Ulli (Полиектова), Hodorankodi (Ананьин), Saška (Александр) (Ананьин), Marfa (Ананьин), Dyrgi, Levonkodi (Яковлев). Kolmičči palo kylä, jäi vai kirikkö da popovskoi škola. Venehet niis palettih. Nittoh pienie kodiloi stroittih. Pappi vuidi ymbäri pyörähti rissin kera. Hyö sohraniuvuttih. Второй ряд домов: Juakko (Кондратьев), lapset: Načči, Ol'oksei (Полиектов) - Алексей Федорович (моряком был, в Норвегию ходил. За одно лето зарабатывали на корову, лошадь и дом могли построить), lapset: Mika, Iibu (1 kuoli), Fedka (1 kuoli), Anni, Antista(Анфиса), Liiska Fed'a (Гаврилов), pojat: Fedän Ser'o, Ol'oksei (арестован), Muarie (Нечаева) D'yrgi (Егор) погиб на войне (Кондратьев), Kirilä (Пабуев), pojat: Mika da Lari - погиб на войне. Petra (Петр) (Савин), Saša (Александр) (Амосов), Iinakonkodi - Arka (Аркадий) (Пабуев), Griiša (Артемьев), Odr'ouna, Mikkula (Полиектов) арестован был судьей в Кеми 37 г., Iivana (Иван Кузьмич) (Полиектов), Paško da Miikula (арестован) - братья (Абрамов), Laukka, Mokki-tuatto, Simana-poiga (Антипин), papinškola kirikkö, pantih petazet (первые жители ловили птицу), kirikkö oli toizessa pakassa ... (?), tuldih švedat, poltettih da upotettih kellot. Ojan rannalla oli kirikkö. Melliččy - Haugipohjanoja.",г.,год
"Деревня, расположенная у юго-восточного края о. Карасозеро.",о.,озеро
"Деревня, расположенная к ю.-з. от с. Шуньга, за озером Валгомозеро.",с.,село
"Деревня, расположенная к с.-з. от с. Шуньга.",с.,село
Деревня севернее с. Ведлозеро,с.,село
Деревня при впадении р. Колода в р. Водла.,р.,река
"Деревня недалеко от г. Пудож, рядом с д. Левино.",г.,деревня
Деревня находится в 12 км к северо-западу от г. Питкяранта,г.,город
Деревня находится в 12 км к северо-западу от г. Питкяранта,г.,город
Деревня на ю/з от с. Ивановское.,с.,село
Деревня на сев. от с. Георгиевское.,с.,село
"Деревня на р. Рагнукса, в 33 км от г. Пудож, 592 жителя, входила в Авдеевский сельсовет.",р.,река
Деревня на р. Водла в 24 км от г. Пудож.,г.,город
"Деревня на правом берегу Кеми, в 5 км от истока: 1864 г. вся выгорела, была в 2 раза больше, чем потом, когда отстроилась вновь. Самая большая деревня в округе, поэтому называлась Великий Двор",г.,год
деревня на о. Кухка,о.,остров
деревня на о. Кухка,о.,остров
"деревня на левом берегу р. Важинки, между Согинским Погостом и с. Важины.",с.,село
"деревня на левом берегу р. Важинки, между Согинским Погостом и с. Важины",р.,река
"Деревня на изгибе р. Водла, недалеко от г. Пудож.",г.,город
"Деревня и ручей в 8 км от с. Шелтозеро, там покосы д. D´er´emišt.",с.,село
"деревня возле одноименной горы на берегу р. Videlend’ogi, рус. Железная гора – СНМ 1905 № 868, СНМ 1926 № 1738, СНМ 1933 № 1220",р.,река
"Деревня вблизи г. Пудож, на берегу р. Водла.",г.,город
"деревня в составе с. Янишполе , на берегу Сунозера",с.,село
деревня в составе с. Шуя,с.,село
Деревня в составе с. Шимозеро.,с.,село
Деревня в составе с. Шимозеро.,с.,село
Деревня в составе с. Шимозеро.,с.,село
"Деревня в составе с. Песчаное, в северном конце. Была часовня, ветряная мельница, ок 30 домов. Песок брали на берегу Онежского озера, глину копали на г. Коньюха. Жен брали из Кузаранды, Беляевщины, Тубозера. Колхоз Третий решающий год пятилетки. Фамилии жителей: Ореховы, Федоровы, Царевы, Лушины, Корешковы, Староверовы, Танины, Кузины, Зайцевы, Мугачевы, Катковы, Делесины/Гелесины, Курочкины, Гладышевы.",г.,гора
"деревня в составе с. Заозерье, на мысу оз. Логмозеро",с.,село
деревня в составе с. Виданы,с.,село
деревня в составе с. Виданы,с.,село
Деревня в составе с. Ведлозеро,с.,село
Деревня в составе Панинского сельсовета. 74 хозяйства до войны 238 человек в 1939 г. Колхоз Красная звезда Родина Восход. Концы деревни: Ганичев Край Гришкино Поляково. Раньше было 8 колодцев сейчас 3. В воде извести много. Фамилии жителей: Афанасьевы Богдановы Филипповы Ганичевы Поляковы Соловьевы Таничевы Николаевы и др.,г.,год
Деревня в 3 км от г. Пудож.,г.,город
Деревня в 15 км от с. Шимозеро.,с.,село
"Деревня (бывшая) на острове Бол. Леликовский, расположена у моста ведущего на о. Мал. Леликовский. Место на Бол. Леликовском острове, где жили кожевенник Нисканен, а затем Раутинен",о.,остров
"Деревня (бывш.) на ю/в берегу оз. Водлозеро, на берегу Чуяльской Лахты до войны ок. 20 хозяйств к/з XVII партсъезд - 1934 г. Деревня на вост. берегу оз. Водлозеро, в 8 км от Куганаволока.",г.,год
"Деревня (бывш.) на мысу, на зап. берегу оз. Водлозеро. До 1952 г. было ок. 20 дворов к/х Красный Кустарь. Деревня по дороге в д. Гольницы, в 12 км.",г.,год
"Деревня (бывш.) на берегу оз. Куккозеро. Раньше было 30 домов, школа, которая открылась после войны в 1946 г. В ней работали 2 учителя, учились 42 ученика. Ходили из д. Юргилица пешком 6 км. 'Смолу не заготавливали. Кому нужна была для хозяйственных нужд смола, лодку просмолить, гнали смолу из, например, смолистые пни выкапывали в лесу, уже выкорчеванное дерево, значит было. Пни смолистые. Вот эти пни, я помню, собирали. Потом, такое устройство было, я помню, мой отец, покойный, делал. Бочка такая, он там их сжигал, потом такое отверстие было, как бы канатка, и здесь ведро для смолы. А эти поленья смолистые горели в бочке, они растапливались, смола вытекала с нихи попадала сюда с канатки в ведро. Домашним способомтак гнали. Это была настоящая, натуральная смола.'",г.,год
"дер. по обоим берегам р. Mägriänjogi, тянется почти до самого г. Олонца",г.,город
"дер. по обоим берегам р. Mägriänjogi, тянется почти до самого г. Олонца",г.,город
дер. на берегу р. Tuulosjogi,р.,река
"дер. на берегу р. Mägriänjogi, = Rižu, Rižunhieru, Rižoilu, рус. Рыжула – СНМ 1905 № 989, Рижула, Рижул – СНМ 1926 № 2049, Рижула – СНМ 1933 № 1535",р.,река
Две небольшие возвышенности к северо-востоку от с. Нюхча на Подсюрежном болоте. Карта - г. Бессмертная карта: г. Бессмертная,г.,гора
Две небольшие возвышенности к северо-востоку от с. Нюхча на Подсюрежном болоте. Карта - г. Бессмертная карта: г. Бессмертная,г.,гора
"два острова шириной в 70 м, один длиной 300 м., другой 120 м. расположены в губе Святуха против деревни.",м.,метров
"Два острова в южной части архипелага Уйма, отделены проливом от о. Габостров.",о.,остров
"Два острова в южной части архипелага Уйма, отделены проливом от о. Габостров.",о.,остров
"Два острова в востчной части оз.Кемское, против залива Грязина, сухие, без деревьев один больше (150 м. Х 50 м.) другого.",м.,метров
Два озера в окрестностях п. Кубово.,п.,посёлок
Два недалеко отстоящих друг от друга каменистых мыса на берегу пролива Железные Ворота напротив сев. оконечности о. Берёзовец.,о.,остров
"Губа, 800 м на восток от д. Усть-Яндома.",д.,деревня
"Губа Онежского озера в южной части о. Большой Климецкий, между мысами Карнешнаволок и Мутолокша.",о.,остров
"Губа на восточном берегу Святухи, тянущаяся с юга на север примерно на 300-400 м.",м.,метров
"Губа к северо-западу от д. Саньки, в 300 м.",м.,метров
"Губа к северо-западу от д. Саньки, в 150 м., отделяется от Галайгубы узким полуостровом.",м.,метров
Губа в южной части о. Ерницкий.,о.,остров
Губа в северной части о. Ерницкий на Онежском озере.,о.,остров
Губа в Онежском озере напротив п. Онежский.,п.,посёлок
"Губа в Кондопожской губе Онежского озера, севернее о. Ламп (Ламбасостров), в окрестностях д. Тулгуба.",о.,остров
"Группа островов к северо-западу от о. Соколий, в окрестностях д. Тулгуба. Соколий пахали, покосы были.",о.,остров
"Группа небольших островов (луд) в Белом море к востоку от хутора Руйга, к северо-востоку от с. Нюхча. Острова каменистые, леса мало, растут только карликовые деревья, местами травянистые.",с.,село
Грибное место у п. Онежский.,п.,посёлок
Горушка у р. Колода. Поляна пахотная,р.,река
"Гора, расположенная у дороги, ведущей в д. Вахтозеро, в 3 км от Спасской Губы.",д.,деревня
"Гора, на которой стоит д. Syrd´.",д.,деревня
"Гора у с. Урицкое, в сторону лесоучастка Мирный, высота 151,5.",с.,село
Гора Пиен-Тавонмяки находится в поселении Karmala севернее г. Коркеамяки.,г.,гора
Гора п. Онежский.,п.,посёлок
Гора около д. Крестная Гора.,д.,деревня
"Гора на о. Мягостров, самая высокая и приметная на острове. Покрыта горелым лесом. На склонах и у подножия горы раньше действительно встречалось много змей (гадюк). Лес на горе и ее склонах полностью выгорел в августе 2010 г. после удара молнии вершину",г.,год
Гора на дороге из д. Конец-Мондра в п. Мельница.,п.,посёлок
"Гора на востоке от д. Кевятозеро. На ней находится оз. Молчанка. Название дано потому, что во время рыбной ловли здесь нельзя произносить ни слова, иначе не будет улова.",д.,деревня
"Гора на берегу Сумозера у входа в Крестовскую губу. Гора высокая - 131,5 м.",м.,метров
"Гора на берегу р. Нётома, высотой 20 м.",м.,метров
Гора в с. Шуньга на западном берегу Путкозера. Раньше там добывали шуньгит.,с.,село
"Гора близ дер. Большие Горы. Южный склон горы д. Большие Горы высотой 79,5 м.",м.,метров
"Гора близ дер. Большие Горы. Южный склон горы д. Большие Горы высотой 79,5 м.",м.,метров
"Глухое озеро на полпути от д. Вама к д. Вавдиполе, в 2 км от Вамы. Озеро по дороге от д. Вама к Водлозеру, имеет сток в р. Вама.",д.,деревня
"Глухое озеро на полпути от д. Вама к д. Вавдиполе, в 2 км от Вамы. Озеро по дороге от д. Вама к Водлозеру, имеет сток в р. Вама.",д.,деревня
"Глубокое место на Ванчозере, глубина примерно 8 м. Яма тянется вдоль всего озера, отсюда и название.",м.,метров
"Гладкая высокая скала, с которой виден г. Петрозаводск.",г.,город
"Вытянутое поле жителей с. Нюхча за Палащеельей, расположено вдоль зимника на возвышенном месте среди болота. Место сухое. Привязка к карте м.б. не совсем точной.",с.,село
Высокий остров в проливе Мягостровская Салма возле вост. берега о. Маникостров. Охотничья изба.,о.,остров
Высокая гора у оз. Лешозеро (исток р. Тонда).,р.,река
Высокая гора у оз. Лешозеро (исток р. Тонда).,р.,река
Высокая гора на север от с. Корбозеро.,с.,село
"Высокая гора на берегу р. Сума, против уроч. Долгий Берег.",р.,река
"Выдающийся узким полуостровом в море мыс на сев.-зап. берегу о. Мягостров. Отмечен триангулятом. Рядом - колхозная изба (перестроена, используется охотниками).",о.,остров
"Выдающийся узким полуостровом в море мыс на сев.-зап. берегу о. Мягостров. Отмечен триангулятом. Рядом - колхозная изба (перестроена, используется охотниками).",о.,остров
Выгон в окрестностях с. Нюхча. Ср. пролив Костроминка.,с.,село
Второй порог вверх по течению р. Охта между озерами Юлозеро и Муезеро. (Yläjärvi - Striiga - Ristikari - Ruogokari - Läpäkkä (Lepäkkö) - Joučenkoški - Muujärvi),р.,река
Впадина на западе д.Поля в 200 м.,м.,метров
восточнее г. Сурисельга,г.,гора
восточнее г. Сурисельга,г.,гора
восточнее г. Гамеген,г.,гора
"Возвышенный остров архипелага Борщёвцы (см. Бережной Борщёвец, Длинный Борщёвец). Две плоские, лишенные растительности вершины разделены глубокой седловиной, покрытой густым лесом. Удобная для стоянки осыхающая бухта с южной стороны. Колхозная изба, построенная в 1974 г. (до этого также были строения). С 2001 г. активно посещается туристами, построены гостевые домики. В годы ГУЛАГА лагерь на Мягострове, пекарня на Борщёвце. В «Песне о Колежме» (авторы Б. И. Печенкин, И. О. Отавин): «В острова Сосновцы и БорЩовые На моторках ходят рыбаки».",г.,год
"Возвышенный остров архипелага Борщёвцы (см. Бережной Борщёвец, Длинный Борщёвец). Две плоские, лишенные растительности вершины разделены глубокой седловиной, покрытой густым лесом. Удобная для стоянки осыхающая бухта с южной стороны. Колхозная изба, построенная в 1974 г. (до этого также были строения). С 2001 г. активно посещается туристами, построены гостевые домики. В годы ГУЛАГА лагерь на Мягострове, пекарня на Борщёвце. В «Песне о Колежме» (авторы Б. И. Печенкин, И. О. Отавин): «В острова Сосновцы и БорЩовые На моторках ходят рыбаки».",г.,год
"Возвышенность по тракту в районе с. Нюхча. Сосняк там, изредко попадается берёза.",с.,село
"Возвышенность по тракту в районе с. Нюхча. Сосняк там, изредко попадается берёза.",с.,село
"Возвышенность к северу от с. Нюхча, расположена у тракта. Возвышенность не очень высокая, место влажное, но не болотистое, местами каменистая, растет строевой лес (ель, сосна).",с.,село
"Возвышенность к северу от с. Нюхча, по левую сторону от Почтого Тракта. карта: г. Мал.Гандосельга см. Гандоселья",г.,гора
"Возвышенность к северу от с. Нюхча, по левую сторону от Почтового Тракта. карта: г. Мал. Гандосельга см. Большая Гандосельга",г.,гора
Возвышенность к северо-востоку от с. Нюхча. Дальше от моря чем Передняя Подомаревская гора. карта: г. Задние Подомаревы,г.,гора
"Возвышенность в районе с. Нюхча. Она не очень значительна по размеру, но достаточно крутая. карта: г. Юрка.",г.,гора
Возвышенность в районе с. Нюхча. Здесь в 1563 году была деревня.,с.,село
"Возвышенность в районе с. Нюхча. Видимо, то же, что г. Игнашиха.",г.,гора
Возвышенность в районе с. Нюхча.,с.,село
Возвышенность в районе г. Кемь,г.,город
Возвышенность в районе г. Кемь,г.,город
"Возвышенность в 600 м. к югу от дер. Щукнаволок. Место такое, что ei ni sinne, ei ni tänne, niin kuin ridah piäzet....",м.,метров
"Возвышенность в 1.5 км. от с. Нюхча. Сейчас там стоит крест, раньше стояла часовня в честь Св. Ильи. В Ильин и Духов день туда ходили крестным ходом, молились. Возвышенность достаточно высокая, её видно всегда и с суши и с моря. Она как ориентир, может быть поэтому и Святая (ПМЯ 1930). Рассказывали, что когда-то была война, монахи с кем-то воевали, убитых много было. Рядом есть Святое озерко и вода в нем была красная от крови (ДАК 1930)",с.,село
Возвышенность в 1 км. от с. Нюхча,с.,село
"Водяная мельница (бывш.) на р. Черная, между дер. Каршево и Нигижма, у моста.",р.,река
"Верхняя Половина, Нижняя Половина - две деревни (по 10 домов) на р. Водла, в 20 км от д. Водла, в 20 км от Водлозера, в 20 км от д. Заволочье (т. е. на полпути).",р.,река
"Вековечная поморская деревня на острове. Хутор (жил Андреев Кирилл), 1 дом. Фамилии Белые, Матросовы, Харитоновы, Червовы, Федотовы, Панкратьевы, Вороновы. Церковь. Иванов день - 7.07. Праздновали по домам. Канал начали строить в 1932 г. Келейка была (бабушка Харитонова, староверки). Часовня: Церквушка Варвара (на острове была, затоплена). Впоследствии до 200 домов. Был мост в Матьгору (хутор, 2 дома) через реку. Колхоз Выг рыболовецкий. Но и скотину держали. Рядом хутор Сосновец (2 дома), сеяли жито, ячмень. хозяйка - карелка. Была ригача. В Золотце рыбаки жили. Жили староверы. Была молельня, старушки собирались. Была и православная часовня. Первые жители Мыши, немножко зажиточные.",г.,год
Варака (возвышенность) в районе г. Кемь. Рядом с ней шел зимник.,г.,город
Варака (возвышенность) в районе г. Кемь. Рядом с ней шел зимник.,г.,город
в правобережье р. Тулемайоки,р.,река
в левобережье р. Шуя,р.,река
"В 500 м от деревни, на о. Леликов, на Онежском озере.",о.,остров
"В 2 км от деревни, на о. Колгов . на Онежском озере.",о.,остров
"В 0,5 км от деревни, на о. Леликов, на Онежском озере.",о.,остров
"Бывшее угодье. Место на берегу Лахновского озера между д. Коробейниково и д. Лахново, где берут глину.",д.,деревня
Бывшее болото у г. Кемь,г.,город
Бывшее болото под г. Горелиха.,г.,гора
Бывшая часть г. Кемь на острове Средний Пудас.,г.,город
Бывшая подсека жителей д. Кевятозеро.,д.,деревня
Бывшая деревня недалеко от п. Онежский.,п.,посёлок
бывшая деревня к югу от оз. Вачозеро у дороги в с. Важины,с.,село
бывшая деревня в устье р. Викши.,р.,река
Бывш. хутор на ю/в от с. Георгиевское.,с.,село
"Бывш. хутор в окрестностях с. Георгиевское, жил старик Давыд.",с.,село
"Бывш. деревня в 2 км на ю/в от д. Бол. Горы, на горе высоток 97 м.",м.,метров
Брод на р. Сустрежа.,р.,река
Бор на юг от д. Кулгала.,д.,деревня
Бор к северу от с. Нюхча по тракту у Каменного ручья. Здесь было место отдыха. Рядом был брод через ручей. Привязка к карте м.б. не совсем точной.,с.,село
"Бор в районе с. Нюхча. Привязка к карте не является точной, привязано к лесному участку у г. Игнашиха.",г.,гора
Бор в районе с. Нюхча.,с.,село
Бор в районе с. Нюхча.,с.,село
Бор в районе с. Нюхча.,с.,село
Бор в районе с. Нюхча,с.,село
Бор в районе с. Нюхча,с.,село
Бор в районе д. Новинки.,д.,деревня
Бор в районе г. Кемь,г.,город
Бор в 4 км. к югу от с. Нюхча.,с.,село
"Большой о. Кокков, вытянутый по форме",о.,остров
Большое болото между р. Колодой и р. Палангой.,р.,река
"Большое болото за д. Водла, на лев. берегу р. Водла, тянется до оз. Кумбасозеро.",р.,река
Большое болото Вирансуо между д. Ламбинаволок и р. Лумбас. По болоту протекает ручей Rihoja (на карте - Рыгоя). Очень много клюквы.,д.,деревня
Болотце у г. Игнашиха. Привязка к карте не является точной.,г.,гора
Болотце у г. Игнашиха. Привязка к карте не является точной.,г.,гора
"Болото, с которого брали мох на строительство, в окрестностях с. Георгиевское.",с.,село
"Болото, расположенное в 2 км к востоку от д. Красная Сельга к северу от о. Койбозеро.",о.,озеро
Болото у с. Шокша.,с.,село
Болото у с. Шелтозеро.,с.,село
Болото у д. Канабро.,д.,деревня
Болото п. Онежский.,п.,посёлок
Болото п. Онежский.,п.,посёлок
Болото п. Онежский.,п.,посёлок
Болото около д. Падмозеро.,д.,деревня
"Болото на правом берегу р. Колежма, в 3 км от села. Здесь Голубинский порог на реке.",р.,река
Болото на о. Сало (оз. Ведлозеро). Очень много клюквы. Болото тянется от одного берега до другого - с сев. и южн. сторон вода.,о.,остров
"Болото на западном берегу Космозера. Из болота вытекает на юг р. Судма, на север ручей Порожек в судочью Губу Космозера. Лейков мох [РГИА, ф.380, оп.17, № 533, планшет 35, 36, 1868]",р.,река
болото на берегу р. Videlend’ogi в 3-х км от деревни,р.,река
"Болото к югу от с. Нюхча, за Дедовой Горой.",с.,село
"Болото к югу от дер. Унежма, рядом с г. Смолениха. На Бабье болото, ближайшее к Унежме, бабы ходили за ягодами.",г.,гора
Болото к северу от с. Ивановское.,с.,село
Болото к северу от д. Юркостров.,д.,деревня
"Болото к западу от д. Саньки, в 300 м., на южном берегу Галайгубы.",м.,метров
"Болото и покосы в 7 км от д. Лонгасово, в лесу.",д.,деревня
Болото в сторону п. Онежский за д. Нигижма.,п.,посёлок
Болото в районе с. Нюхча.,с.,село
Болото в районе с. Нюхча.,с.,село
"Болото в районе с. Нюхча, между трактом и Белым морем",с.,село
Болото в районе с. Нюхча у Двинской губы.,с.,село
"Болото в районе д. Тавойгора, в 7 км от д. Кедрозеро и в 2 км на северо-восток от озера Среднее, длина 1,5 км, ширина до 800 м.",м.,метров
Болото в районе д. Пелдожа.,д.,деревня
Болото в районе д. Намоево.,д.,деревня
"Болото в окрестностях Кеми, за г. Горелиха.",г.,гора
Болото в окрестностях д. Яковлевская.,д.,деревня
Болото в окрестностях д. Ташкеницы.,д.,деревня
"Болото в окрестностях д. Мироново, рядом с г. Бундырь. Федор Михайлович жил ягоды собирал.",г.,гора
Болото в окрестностях д. Гижино.,д.,деревня
Болото в окрестностях д. Верхняя Ламба.,д.,деревня
Болото в окрестностях г. Кондопога.,г.,город
"Болото в 4500 м. к востоку от деревни, справа от северной дороги в Läpäkkö.",м.,метров
"Берег Белого моря напротив Лисьего острова. Возможно, что здесь могла находиться тоня Лисий, упомянутая в 1876 г. (ГААО, 1876, 6/15/37, с. 191).",г.,год
"Акватория в заливе Святуха, в 800 м. к северу от деревни Микково между островами бабкинский, Вороний и Острадний.",м.,метров
"600 м. к юго -востоку от дер., южнее поля timoihiine, слева от южной дороги в Läpäkkö.",м.,метров
"550 м. к востоку от деревни, справа от северной дороги в Läpäkkö.",м.,метров
400 м. К юго- западу от дер.,м.,метров
400 м. к юго- востоку от дер.,м.,метров
400 м. к северу от деревни.,м.,метров
"400 м. к северу от деревни, вдоль дороги в Куйтежу, за полем riigoin tagaverii.",м.,метров
400 м. к северо- западу от дер.,м.,метров
"400 м. к северо- востоку от дер., рядом с полем prošken tagaverii.",м.,метров
"3,5 м. к северу от деревни.",м.,метров
2500 м. от дер. к северу.,м.,метров
200 м. к югу от дер.,м.,метров
200 м. к северу от деревни.,м.,метров
1000 м. от дер. к юго- западу.,м.,метров
100 м. к северо- западу от дер.,м.,метров
? Возможно узкий вытянутый мысок о. Калиниха с юго-восточной стороны.,о.,остров